Date,Open,High,Low,Close,Volume
1980-01-02,61.0,61.0,61.0,61.0,0
1980-01-03,14.0,14.0,14.0,14.0,0
1980-01-04,47.0,47.0,47.0,47.0,0
1980-01-07,90.0,90.0,90.0,90.0,0
1980-01-08,104.0,104.0,104.0,104.0,0
1980-01-09,170.0,170.0,170.0,170.0,0
1980-01-10,135.0,135.0,135.0,135.0,0
1980-01-11,149.0,149.0,149.0,149.0,0
1980-01-14,164.0,164.0,164.0,164.0,0
1980-01-15,126.0,126.0,126.0,126.0,0
1980-01-16,189.0,189.0,189.0,189.0,0
1980-01-17,84.0,84.0,84.0,84.0,0
1980-01-18,80.0,80.0,80.0,80.0,0
1980-01-21,128.0,128.0,128.0,128.0,0
1980-01-22,99.0,99.0,99.0,99.0,0
1980-01-23,119.0,119.0,119.0,119.0,0
1980-01-24,196.0,196.0,196.0,196.0,0
1980-01-25,119.0,119.0,119.0,119.0,0
1980-01-28,199.0,199.0,199.0,199.0,0
1980-01-29,153.0,153.0,153.0,153.0,0
1980-01-30,132.0,132.0,132.0,132.0,0
1980-01-31,224.0,224.0,224.0,224.0,0
1980-02-01,71.0,71.0,71.0,71.0,0
1980-02-04,100.0,100.0,100.0,100.0,0
1980-02-05,53.0,53.0,53.0,53.0,0
1980-02-06,93.0,93.0,93.0,93.0,0
1980-02-07,153.0,153.0,153.0,153.0,0
1980-02-08,185.0,185.0,185.0,185.0,0
1980-02-11,178.0,178.0,178.0,178.0,0
1980-02-12,77.0,77.0,77.0,77.0,0
1980-02-13,164.0,164.0,164.0,164.0,0
1980-02-14,58.0,58.0,58.0,58.0,0
1980-02-15,14.0,14.0,14.0,14.0,0
1980-02-18,,,,,0
1980-02-19,18.0,18.0,18.0,18.0,0
1980-02-20,48.0,48.0,48.0,48.0,0
1980-02-21,53.0,53.0,53.0,53.0,0
1980-02-22,24.0,24.0,24.0,24.0,0
1980-02-25,8.0,8.0,8.0,8.0,0
1980-02-26,10.0,10.0,10.0,10.0,0
1980-02-27,15.0,15.0,15.0,15.0,0
1980-02-28,11.0,11.0,11.0,11.0,0
1980-02-29,19.0,19.0,19.0,19.0,0
1980-03-03,25.0,25.0,25.0,25.0,0
1980-03-04,10.0,10.0,10.0,10.0,0
1980-03-05,17.0,17.0,17.0,17.0,0
1980-03-06,2.0,2.0,2.0,2.0,0
1980-03-07,0.0,0.0,0.0,0.0,0
1980-03-10,1.0,1.0,1.0,1.0,0
1980-03-11,3.0,3.0,3.0,3.0,0
1980-03-12,2.0,2.0,2.0,2.0,0
1980-03-13,3.0,3.0,3.0,3.0,0
1980-03-14,2.0,2.0,2.0,2.0,0
1980-03-17,3.0,3.0,3.0,3.0,0
1980-03-18,0.0,0.0,0.0,0.0,0
1980-03-19,1.0,1.0,1.0,1.0,0
1980-03-20,5.0,5.0,5.0,5.0,0
1980-03-21,5.0,5.0,5.0,5.0,0
1980-03-24,2.0,2.0,2.0,2.0,0
1980-03-25,1.0,1.0,1.0,1.0,0
1980-03-26,1.0,1.0,1.0,1.0,0
1980-03-27,2.0,2.0,2.0,2.0,0
1980-03-28,2.0,2.0,2.0,2.0,0
1980-03-31,8.0,8.0,8.0,8.0,0
1980-04-01,9.0,9.0,9.0,9.0,0
1980-04-02,5.0,5.0,5.0,5.0,0
1980-04-03,6.0,6.0,6.0,6.0,0
1980-04-04,,,,,0
1980-04-07,3.0,3.0,3.0,3.0,0
1980-04-08,5.0,5.0,5.0,5.0,0
1980-04-09,6.0,6.0,6.0,6.0,0
1980-04-10,11.0,11.0,11.0,11.0,0
1980-04-11,9.0,9.0,9.0,9.0,0
1980-04-14,5.0,5.0,5.0,5.0,0
1980-04-15,4.0,4.0,4.0,4.0,0
1980-04-16,11.0,11.0,11.0,11.0,0
1980-04-17,6.0,6.0,6.0,6.0,0
1980-04-18,6.0,6.0,6.0,6.0,0
1980-04-21,2.0,2.0,2.0,2.0,0
1980-04-22,5.0,5.0,5.0,5.0,0
1980-04-23,12.0,12.0,12.0,12.0,0
1980-04-24,10.0,10.0,10.0,10.0,0
1980-04-25,9.0,9.0,9.0,9.0,0
1980-04-28,21.0,21.0,21.0,21.0,0
1980-04-29,13.0,13.0,13.0,13.0,0
1980-04-30,11.0,11.0,11.0,11.0,0
1980-05-01,12.0,12.0,12.0,12.0,0
1980-05-02,13.0,13.0,13.0,13.0,0
1980-05-05,18.0,18.0,18.0,18.0,0
1980-05-06,27.0,27.0,27.0,27.0,0
1980-05-07,32.0,32.0,32.0,32.0,0
1980-05-08,23.0,23.0,23.0,23.0,0
1980-05-09,9.0,9.0,9.0,9.0,0
1980-05-12,10.0,10.0,10.0,10.0,0
1980-05-13,19.0,19.0,19.0,19.0,0
1980-05-14,26.0,26.0,26.0,26.0,0
1980-05-15,26.0,26.0,26.0,26.0,0
1980-05-16,27.0,27.0,27.0,27.0,0
1980-05-19,35.0,35.0,35.0,35.0,0
1980-05-20,22.0,22.0,22.0,22.0,0
1980-05-21,14.0,14.0,14.0,14.0,0
1980-05-22,35.0,35.0,35.0,35.0,0
1980-05-23,52.0,52.0,52.0,52.0,0
1980-05-26,,,,,0
1980-05-27,47.0,47.0,47.0,47.0,0
1980-05-28,32.0,32.0,32.0,32.0,0
