Date,VMCSUMNYA
1980-01-02 09:30:00,1011.85
1980-01-03 09:30:00,964.86
1980-01-04 09:30:00,956.37
1980-01-07 09:30:00,959.82
1980-01-08 09:30:00,990.46
1980-01-09 09:30:00,1020.42
1980-01-10 09:30:00,1061.47
1980-01-11 09:30:00,1103.95
1980-01-14 09:30:00,1151.16
1980-01-15 09:30:00,1195.71
1980-01-16 09:30:00,1225.56
1980-01-17 09:30:00,1241.98
1980-01-18 09:30:00,1250.77
1980-01-21 09:30:00,1270.78
1980-01-22 09:30:00,1262.06
1980-01-23 09:30:00,1276.38
1980-01-24 09:30:00,1292.23
1980-01-25 09:30:00,1298.85
1980-01-28 09:30:00,1311.42
1980-01-29 09:30:00,1299.65
1980-01-30 09:30:00,1301.54
1980-01-31 09:30:00,1282.43
1980-02-01 09:30:00,1272.97
1980-02-04 09:30:00,1249.95
1980-02-05 09:30:00,1224.43
1980-02-06 09:30:00,1205.41
1980-02-07 09:30:00,1190.7
1980-02-08 09:30:00,1191.06
1980-02-11 09:30:00,1172.76
1980-02-12 09:30:00,1163.65
1980-02-13 09:30:00,1153.06
1980-02-14 09:30:00,1110.81
1980-02-15 09:30:00,1045.93
1980-02-18 09:30:00,
1980-02-19 09:30:00,960.57
1980-02-20 09:30:00,904.92
1980-02-21 09:30:00,827.94
1980-02-22 09:30:00,742.81
1980-02-25 09:30:00,632.19
1980-02-26 09:30:00,540.83
1980-02-27 09:30:00,433.67
1980-02-28 09:30:00,341.5
1980-02-29 09:30:00,287.14
1980-03-03 09:30:00,215.8
1980-03-04 09:30:00,139.98
1980-03-05 09:30:00,41.0
1980-03-06 09:30:00,-86.66
1980-03-07 09:30:00,-219.34
1980-03-10 09:30:00,-353.47
1980-03-11 09:30:00,-437.05
1980-03-12 09:30:00,-529.5
1980-03-13 09:30:00,-631.54
1980-03-14 09:30:00,-725.23
1980-03-17 09:30:00,-846.17
1980-03-18 09:30:00,-925.07
1980-03-19 09:30:00,-981.38
1980-03-20 09:30:00,-1051.22
1980-03-21 09:30:00,-1128.73
1980-03-24 09:30:00,-1236.97
1980-03-25 09:30:00,-1334.01
1980-03-26 09:30:00,-1418.21
1980-03-27 09:30:00,-1517.9
1980-03-28 09:30:00,-1555.86
1980-03-31 09:30:00,-1557.66
1980-04-01 09:30:00,-1539.91
1980-04-02 09:30:00,-1497.66
1980-04-03 09:30:00,-1456.84
1980-04-04 09:30:00,
1980-04-07 09:30:00,-1451.48
1980-04-08 09:30:00,-1415.25
1980-04-09 09:30:00,-1344.2
1980-04-10 09:30:00,-1252.0
1980-04-11 09:30:00,-1164.38
1980-04-14 09:30:00,-1113.86
1980-04-15 09:30:00,-1078.3
1980-04-16 09:30:00,-1054.09
1980-04-17 09:30:00,-1037.29
1980-04-18 09:30:00,-1024.82
1980-04-21 09:30:00,-1037.68
1980-04-22 09:30:00,-1000.07
1980-04-23 09:30:00,-952.14
1980-04-24 09:30:00,-882.87
1980-04-25 09:30:00,-811.29
1980-04-28 09:30:00,-735.24
1980-04-29 09:30:00,-659.39
1980-04-30 09:30:00,-581.39
1980-05-01 09:30:00,-527.17
1980-05-02 09:30:00,-470.25
1980-05-05 09:30:00,-396.28
1980-05-06 09:30:00,-326.1
1980-05-07 09:30:00,-236.28
1980-05-08 09:30:00,-171.1
1980-05-09 09:30:00,-142.05
1980-05-12 09:30:00,-110.14
1980-05-13 09:30:00,-50.11
1980-05-14 09:30:00,23.51
1980-05-15 09:30:00,98.45
1980-05-16 09:30:00,166.86
1980-05-19 09:30:00,225.42
1980-05-20 09:30:00,278.68
1980-05-21 09:30:00,327.67
1980-05-22 09:30:00,394.24
1980-05-23 09:30:00,481.71
1980-05-26 09:30:00,
1980-05-27 09:30:00,572.05
1980-05-28 09:30:00,663.11
1980-05-29 09:30:00,711.2
1980-05-30 09:30:00,771.2
1980-06-02 09:30:00,813.42
1980-06-03 09:30:00,840.35
1980-06-04 09:30:00,894.74
1980-06-05 09:30:00,949.28
1980-06-06 09:30:00,1012.55
1980-06-09 09:30:00,1073.07
1980-06-10 09:30:00,1140.92
1980-06-11 09:30:00,1217.5
1980-06-12 09:30:00,1267.67
1980-06-13 09:30:00,1327.94
1980-06-16 09:30:00,1382.56
1980-06-17 09:30:00,1428.78
1980-06-18 09:30:00,1460.09
1980-06-19 09:30:00,1453.41
1980-06-20 09:30:00,1432.13
1980-06-23 09:30:00,1422.06
1980-06-24 09:30:00,1423.35
1980-06-25 09:30:00,1447.45
1980-06-26 09:30:00,1456.88
1980-06-27 09:30:00,1454.69
1980-06-30 09:30:00,1414.39
1980-07-01 09:30:00,1392.36
1980-07-02 09:30:00,1386.17
1980-07-03 09:30:00,1409.77
1980-07-04 09:30:00,
1980-07-07 09:30:00,1442.88
1980-07-08 09:30:00,1460.84
1980-07-09 09:30:00,1481.25
1980-07-10 09:30:00,1478.26
1980-07-11 09:30:00,1488.76
1980-07-14 09:30:00,1525.27
1980-07-15 09:30:00,1542.8
1980-07-16 09:30:00,1558.45
1980-07-17 09:30:00,1594.74
1980-07-18 09:30:00,1633.19
1980-07-21 09:30:00,1664.69
1980-07-22 09:30:00,1680.57
1980-07-23 09:30:00,1677.79
1980-07-24 09:30:00,1663.43
1980-07-25 09:30:00,1619.03
1980-07-28 09:30:00,1584.64
1980-07-29 09:30:00,1572.83
1980-07-30 09:30:00,1562.65
1980-07-31 09:30:00,1532.16
1980-08-01 09:30:00,1498.69
1980-08-04 09:30:00,1450.8
1980-08-05 09:30:00,1406.64
1980-08-06 09:30:00,1383.43
1980-08-07 09:30:00,1388.52
1980-08-08 09:30:00,1396.05
1980-08-11 09:30:00,1420.07
1980-08-12 09:30:00,1414.4
1980-08-13 09:30:00,1401.46
1980-08-14 09:30:00,1421.35
1980-08-15 09:30:00,1443.7
1980-08-18 09:30:00,1417.91
1980-08-19 09:30:00,1371.62
1980-08-20 09:30:00,1351.45
1980-08-21 09:30:00,1362.27
1980-08-22 09:30:00,1384.64
1980-08-25 09:30:00,1380.79
1980-08-26 09:30:00,1370.94
1980-08-27 09:30:00,1333.88
1980-08-28 09:30:00,1268.25
1980-08-29 09:30:00,1217.03
1980-09-01 09:30:00,
1980-09-02 09:30:00,1195.28
1980-09-03 09:30:00,1209.82
1980-09-04 09:30:00,1205.47
1980-09-05 09:30:00,1190.1
1980-09-08 09:30:00,1150.35
1980-09-09 09:30:00,1125.98
1980-09-10 09:30:00,1121.52
1980-09-11 09:30:00,1133.99
1980-09-12 09:30:00,1140.67
1980-09-15 09:30:00,1144.07
1980-09-16 09:30:00,1161.8
1980-09-17 09:30:00,1201.02
1980-09-18 09:30:00,1223.25
1980-09-19 09:30:00,1258.23
1980-09-22 09:30:00,1294.5
1980-09-23 09:30:00,1300.35
1980-09-24 09:30:00,1300.28
1980-09-25 09:30:00,1267.98
1980-09-26 09:30:00,1191.34
1980-09-29 09:30:00,1075.09
1980-09-30 09:30:00,1005.87
1980-10-01 09:30:00,954.38
1980-10-02 09:30:00,925.77
1980-10-03 09:30:00,926.65
1980-10-06 09:30:00,958.13
1980-10-07 09:30:00,967.28
1980-10-08 09:30:00,984.01
1980-10-09 09:30:00,983.7
1980-10-10 09:30:00,968.97
1980-10-13 09:30:00,979.25
1980-10-14 09:30:00,985.27
1980-10-15 09:30:00,1010.18
1980-10-16 09:30:00,1002.76
1980-10-17 09:30:00,977.19
1980-10-20 09:30:00,956.56
1980-10-21 09:30:00,915.62
1980-10-22 09:30:00,882.78
1980-10-23 09:30:00,817.85
1980-10-24 09:30:00,764.0
1980-10-27 09:30:00,680.17
1980-10-28 09:30:00,603.29
1980-10-29 09:30:00,533.6
1980-10-30 09:30:00,438.21
1980-10-31 09:30:00,373.5
1980-11-03 09:30:00,337.71
1980-11-04 09:30:00,
1980-11-05 09:30:00,336.87
1980-11-06 09:30:00,298.65
